context,model,seed,prob_kind,bin,n,mean_pred,observed_rate,p_min,p_max
temporal,rf,0,raw,5,29306,0.12728417388930593,0.2189312768716304,0.11666666666666667,0.13666666666666666
temporal,rf,0,raw,6,29306,0.14769194021702042,0.23947314543096976,0.13666666666666666,0.16
temporal,rf,0,raw,7,29306,0.17096908482904524,0.2623694806524261,0.16,0.18333333333333332
temporal,rf,0,raw,8,29305,0.19923482909628615,0.2891315475174885,0.18333333333333332,0.21666666666666667
temporal,rf,0,raw,9,29305,0.23837843371438322,0.31868281863163284,0.21666666666666667,0.26666666666666666
temporal,rf,0,raw,10,29305,0.3255826650742194,0.3686742876642211,0.26666666666666666,0.71
temporal,rf,0,recal,1,29306,0.06760188188805014,0.10779362587865966,1.7633206616195815e-06,0.09577868180865728
temporal,rf,0,recal,2,29306,0.11453357191678305,0.14949157169180372,0.09577868180865728,0.13294723649101708
temporal,rf,0,recal,3,29306,0.14671781544414525,0.1775063127004709,0.13294723649101708,0.16382693060337616
temporal,rf,0,recal,4,29306,0.17605804357501847,0.19613730976591826,0.16382693060337616,0.18889867411801284
temporal,rf,0,recal,5,29306,0.20453371927783343,0.2189312768716304,0.18889867411801284,0.2182222488733376
temporal,rf,0,recal,6,29306,0.23400502281530916,0.23947314543096976,0.2182222488733376,0.251424646649613
temporal,rf,0,recal,7,29306,0.2666221035001363,0.2623694806524261,0.251424646649613,0.28358951333972665
temporal,rf,0,recal,8,29305,0.30486326971501676,0.2891315475174885,0.28358951333972665,0.3278338327778596
temporal,rf,0,recal,9,29305,0.3554669806413184,0.31868281863163284,0.3278338327778596,0.39069271029883834
temporal,rf,0,recal,10,29305,0.45779379273497545,0.3686742876642211,0.39069271029883834,0.8119275088036922
temporal,rf,1,raw,1,29306,0.03942184763074683,0.10789599399440387,0.0,0.056666666666666664
temporal,rf,1,raw,2,29306,0.06830376032211834,0.14812666348188083,0.056666666666666664,0.08
temporal,rf,1,raw,3,29306,0.08900134215973976,0.17508360062785777,0.08,0.1
temporal,rf,1,raw,4,29306,0.1083175231465684,0.19934484405923703,0.1,0.11666666666666667
temporal,rf,1,raw,5,29306,0.12763643394981689,0.21992083532382448,0.11666666666666667,0.13666666666666666
temporal,rf,1,raw,6,29306,0.14821197024500105,0.23800586910530266,0.13666666666666666,0.16
temporal,rf,1,raw,7,29306,0.1715805637070907,0.26206237630519347,0.16,0.18333333333333332
temporal,rf,1,raw,8,29305,0.20007495876699086,0.2889609281692544,0.18333333333333332,0.21666666666666667
temporal,rf,1,raw,9,29305,0.23931763635329578,0.32141272820337824,0.21666666666666667,0.26666666666666666
temporal,rf,1,raw,10,29305,0.3268720923619405,0.36737758061764203,0.26666666666666666,0.6866666666666666
temporal,rf,1,recal,1,29306,0.06706891904589389,0.10789599399440387,1.7569904440171348e-06,0.0954676670078306
temporal,rf,1,recal,2,29306,0.11405921430176338,0.14812666348188083,0.0954676670078306,0.132533217489387
temporal,rf,1,recal,3,29306,0.14646883249755843,0.17508360062785777,0.132533217489387,0.1633348626596419
temporal,rf,1,recal,4,29306,0.17585887751462215,0.19934484405923703,0.1633348626596419,0.18834826358324389
temporal,rf,1,recal,5,29306,0.20446424034299807,0.21992083532382448,0.18834826358324389,0.217609318981414
temporal,rf,1,recal,6,29306,0.23409914068988488,0.23800586910530266,0.217609318981414,0.2507483711559017
temporal,rf,1,recal,7,29306,0.2667604000285247,0.26206237630519347,0.2507483711559017,0.282859412957798
temporal,rf,1,recal,8,29305,0.30521820751766143,0.2889609281692544,0.282859412957798,0.3270418240802312
temporal,rf,1,recal,9,29305,0.3558241235947043,0.32141272820337824,0.3270418240802312,0.38983691609176646
temporal,rf,1,recal,10,29305,0.4583743000281317,0.36737758061764203,0.38983691609176646,0.7938326599431169
temporal,rf,2,raw,1,29306,0.039427875975340664,0.1086125708046134,0.0,0.056666666666666664
temporal,rf,2,raw,2,29306,0.06821333515321094,0.14884324029209037,0.056666666666666664,0.08
temporal,rf,2,raw,3,29306,0.08884608385086103,0.17733569917423053,0.08,0.1
temporal,rf,2,raw,4,29306,0.10802395413908415,0.1982529174912987,0.1,0.11666666666666667
temporal,rf,2,raw,5,29306,0.12725232603107442,0.21859004981914967,0.11666666666666667,0.13666666666666666
temporal,rf,2,raw,6,29306,0.14771866966946476,0.2375963966423258,0.13666666666666666,0.16
temporal,rf,2,raw,7,29306,0.17083555130917447,0.26185764007370504,0.16,0.18333333333333332
temporal,rf,2,raw,8,29305,0.19909924358755618,0.2921003241767616,0.18333333333333332,0.21666666666666667
